"br_spectrum","family","item"
"Antagonism","Externalizing",303
"Antagonism","Externalizing",95
"Thought Disorder","Thought Disorder",3
"Thought Disorder","Thought Disorder",220
"Antagonism","Externalizing",52
"Somatoform","Somatoform",115
"Detachment","Detachment",45
"Internalizing","Internalizing",231
"Internalizing","Internalizing",94
"Somatoform","Somatoform",10
"Thought Disorder","Thought Disorder",276
"Detachment","Detachment",278
"Antagonism","Externalizing",14
"Somatoform","Somatoform",324
"Disinhibition","Externalizing",337
"Disinhibition","Externalizing",242
"Somatoform","Somatoform",272
"Internalizing","Internalizing",341
"Somatoform","Somatoform",240
"Disinhibition","Externalizing",269
"Somatoform","Somatoform",247
"Internalizing","Internalizing",394
"Internalizing","Internalizing",227
"Disinhibition","Externalizing",294
"Antagonism","Externalizing",160
"Somatoform","Somatoform",171
"Antagonism","Externalizing",166
"Thought Disorder","Thought Disorder",259
"Disinhibition","Externalizing",360
"Detachment","Detachment",152
"Detachment","Detachment",338
"Disinhibition","Externalizing",243
"Antagonism","Externalizing",236
"Disinhibition","Externalizing",15
"Disinhibition","Externalizing",56
"Detachment","Detachment",122
"Detachment","Detachment",42
"Thought Disorder","Thought Disorder",305
"Thought Disorder","Thought Disorder",168
"Antagonism","Externalizing",301
"Somatoform","Somatoform",332
"Internalizing","Internalizing",373
"Disinhibition","Externalizing",36
"Internalizing","Internalizing",194
"Antagonism","Externalizing",63
