"level","name","Spectrum","Subfactor","n_pro","mean_pro","sd_pro","n_ku","mean_ku","sd_ku","n_pool","mean_pool","sd_pool"
"scale","Restricted Affectivity","Detachment",NA,780,1.7990812,0.7164168,411,1.57542579075426,0.361844193955172,1191,1.72190036607893,0.626596625091423
"scale","Romantic Disinterest","Detachment",NA,778,2.0407241,0.9303366,411,1.91678832116788,0.339849897224878,1189,1.99788338923465,0.780857943101011
"scale","Social Aloofness","Detachment",NA,780,2.4931624,0.8989262,411,1.54476885644769,0.464275604233358,1191,2.16588301595298,0.898262629345672
"scale","Social Anxiety","Detachment",NA,780,2.0572863,0.8943323,411,1.8029197080292,0.443699789602805,1191,1.96950740050378,0.778703106036563
"scale","Submissiveness","Detachment",NA,780,1.8670879,0.7176515,411,1.32725060827251,0.315525602999191,1191,1.68079644164568,0.66144796344057
"scale","Well-being","Detachment",NA,780,2.5258333,0.820736,411,1.85535279805353,0.555116388245068,1191,2.29445841645676,0.805662434939358
"scale","Hyperdeliberation","Externalizing","Anankastia",780,2.5782265,0.7387954,411,1.37566909975669,0.304398744953104,1191,2.16323817800168,0.846327623265109
"scale","Perfectionism","Externalizing","Anankastia",780,1.7667308,0.7588472,411,1.68564476885645,0.441795958135662,1191,1.73874897061293,0.667811276669879
"scale","Rigidity","Externalizing","Anankastia",779,1.8343175,0.6187773,411,1.61970802919708,0.416461180117824,1190,1.76019607773109,0.566533886642998
"scale","Risk Aversion","Externalizing","Anankastia",780,2.4339316,0.7933962,411,1.51013787510138,0.394875655253794,1191,2.11514132213826,0.811745028084386
"scale","Workaholism","Externalizing","Anankastia",780,1.5995299,0.6540792,411,1.68004866180049,0.461390789939383,1191,1.62731597145256,0.595912935814775
"scale","Callousness","Externalizing","Antagonism",780,1.4667094,0.5519651,411,1.41419302514193,0.361337798167915,1191,1.44858662076686,0.495185590516747
"scale","Dishonesty","Externalizing","Antagonism",780,1.4780662,0.5334984,411,1.52531572239601,0.365627024058982,1191,1.49437145080165,0.482740488739489
"scale","Domineering","Externalizing","Antagonism",780,1.671047,0.6396419,411,1.61419302514193,0.354072270033276,1191,1.6514273663588,0.558520396814077
"scale","Entitlement","Externalizing","Antagonism",779,1.5956996,0.5209881,411,1.40697485806975,0.335553601008154,1190,1.53051819753501,0.473945243985783
"scale","Exhibitionism","Externalizing","Antagonism",780,1.3879487,0.5652674,411,1.63888888888889,0.462659430759627,1191,1.47454518835712,0.545308325614489
"scale","Grandiosity","Externalizing","Antagonism",780,1.9485256,0.6736341,411,1.48004866180049,0.342590004094379,1191,1.78685975482788,0.622327040325106
"scale","Social Aggression","Externalizing","Antagonism",780,1.2151709,0.3717428,411,1.69059205190592,0.432780323618345,1191,1.37923311111111,0.454115490917127
"scale","Antisocial Behavior","Externalizing","Antisocial",780,1.06875,0.2483712,411,1.53319429961766,0.36205658833403,1191,1.22902422933909,0.366588138307282
"scale","Oppositionality","Externalizing","Antisocial",780,1.4499145,0.5597994,411,1.78021086780211,0.391927844253397,1191,1.56389586621886,0.531880837582309
"scale","Disorganization","Externalizing","Disinhibition",780,1.69529,0.6250155,411,1.42338083651952,0.309931445067363,1191,1.60145736675863,0.552897207552614
"scale","Gambling","Externalizing","Disinhibition",779,1.170475,0.4411089,411,1.57688564476886,0.405436872549467,1190,1.31084035714286,0.470628168161573
"scale","Gaming","Externalizing","Disinhibition",780,1.4371795,0.604908,411,1.1794403892944,0.287244144008481,1191,1.34823678421495,0.532097137600401
"scale","Non-persistence","Externalizing","Disinhibition",780,1.8743162,0.7617626,411,1.75839416058394,0.543831349722897,1191,1.83431287657431,0.696513762389025
"scale","Non-planfulness","Externalizing","Disinhibition",780,1.6096581,0.6455735,411,1.42360097323601,0.405634313744357,1191,1.54545198824517,0.580989273039161
"scale","Problematic Shopping","Externalizing","Disinhibition",780,1.4746795,0.6640338,411,1.47546634225466,0.458792769155863,1191,1.47495102994682,0.601178369737606
"scale","Restlessness","Externalizing","Disinhibition",780,1.4645726,0.6090559,411,1.78491484184915,0.506991297417649,1191,1.57511891519731,0.595678301096077
"scale","Risk Taking","Externalizing","Disinhibition",780,1.3851496,0.5864459,411,1.45904298459043,0.482391853492407,1191,1.41064933221383,0.553871091135107
"scale","Cognitive Problems","Internalizing","Distress",780,1.9742735,0.8189794,411,1.85304136253041,0.49110055176461,1191,1.93243772460118,0.725132475557459
"scale","Distress-Dysphoria","Internalizing","Distress",780,2.1919304,0.8718579,411,1.58238182134168,0.333699349973671,1191,1.9815824018232,0.787540867889873
"scale","Emotionality","Internalizing","Distress",776,1.6983257,0.6626147,411,1.74323711568237,0.443566433774894,1187,1.71387632497511,0.596335262069422
"scale","Insomnia","Internalizing","Distress",772,2.3249136,0.9305202,411,2.05778588807786,0.560520414019039,1183,2.23210760710059,0.830890271678763
"scale","NSSI","Internalizing","Distress",780,1.1794017,0.393975,411,1.45766423357664,0.373662100803281,1191,1.27542680604534,0.409065681334257
"scale","Nightmares","Internalizing","Distress",780,1.642735,0.7721418,411,1.30251419302514,0.415318670872503,1191,1.52532882731598,0.690032106596208
"scale","Suicidality","Internalizing","Distress",780,1.363141,0.5317042,411,1.66301703163017,0.484082886676064,1191,1.46662466834593,0.535107250123725
"scale","Appetite Loss","Internalizing","Eating Pathology",780,1.5324786,0.6791299,411,1.70640713706407,0.56768396272186,1191,1.59249927903722,0.648153871169544
"scale","Binge Eating","Internalizing","Eating Pathology",780,1.6549145,0.7869895,411,2.0985401459854,0.513854691635754,1191,1.80800445843829,0.735675699100639
"scale","Body Dissatisfaction","Internalizing","Eating Pathology",780,2.3055556,0.9390826,411,1.58394160583942,0.455599349553434,1191,2.05653515365239,0.875709305801551
"scale","Body Focus","Internalizing","Eating Pathology",780,1.7243376,0.6769547,411,1.60620437956204,0.44019585117923,1191,1.68357122418136,0.608397437884682
"scale","Dietary Restraint","Internalizing","Eating Pathology",780,2.1223932,0.7505648,411,1.58260340632603,0.43494635036483,1191,1.93611813266163,0.707161325472731
"scale","Excessive Exercise","Internalizing","Eating Pathology",779,1.1881258,0.4309413,411,1.5521897810219,0.447848594834591,1190,1.31386554470588,0.469903019123795
"scale","Food Selectivity","Internalizing","Eating Pathology",780,1.5263889,0.6558329,411,1.5669099756691,0.439053793218175,1191,1.54037224349286,0.590408080080043
"scale","Muscle Building","Internalizing","Eating Pathology",780,1.4957051,0.6498525,411,1.58686131386861,0.435201246116879,1191,1.5271620302267,0.586355168589039
"scale","Purging","Internalizing","Eating Pathology",780,1.115812,0.3450745,411,1.39740470397405,0.41705350665608,1191,1.21298630842429,0.394876837374794
"scale","Restricted Eating","Internalizing","Eating Pathology",780,1.482906,0.6392606,411,1.82826439578264,0.540116282125481,1191,1.60208509375875,0.628696518365009
"scale","Agoraphobia","Internalizing","Fear",780,1.6224359,0.7745825,411,1.49829683698297,0.386948057855025,1191,1.57959697900924,0.669391644672968
"scale","Checking","Internalizing","Fear",780,1.7991239,0.7733128,411,1.68406326034063,0.506152667500268,1191,1.75941783543241,0.695015063356621
"scale","Cleaning","Internalizing","Fear",779,1.5325142,0.5828759,411,1.51711273317113,0.376860071215425,1190,1.52719486985994,0.521065734930021
"scale","Counting","Internalizing","Fear",780,1.3405342,0.5510015,411,1.538199513382,0.355274773907989,1191,1.40874615952981,0.501218837746875
"scale","Excoriation","Internalizing","Fear",780,1.2980769,0.609091,411,1.75425790754258,0.596198535064506,1191,1.45549956507137,0.642386801706077
"scale","Hoarding","Internalizing","Fear",776,1.5952534,0.6251618,411,1.64128142741281,0.437412422836284,1187,1.61119065296265,0.567653564751235
"scale","Hypervigilance","Internalizing","Fear",780,1.9213462,0.7287017,411,1.70214922952149,0.48811217934759,1191,1.84570392051497,0.663957447255933
"scale","Panic","Internalizing","Fear",780,1.5277564,0.6330595,411,1.96204379562044,0.371049543768651,1191,1.67762383879093,0.593802628405514
"scale","Specific Phobia Index","Internalizing","Fear",780,1.6199314,0.5319967,411,1.50702278257023,0.319869308777036,1191,1.5809679728265,0.47280312645325
"scale","Trauma Reactions","Internalizing","Fear",780,1.7455983,0.834301,411,1.66107055961071,0.420110696660086,1191,1.7164287774979,0.719984128500644
"scale","Trichotillomania","Internalizing","Fear",779,1.1957638,0.4456403,411,1.30008110300081,0.394030653639899,1190,1.2317927172549,0.431379913320252
"scale","Difficulties Reaching Orgasm","Internalizing","Sexual Problems",702,1.4869421,0.7627682,411,1.54055150040552,0.497804740439574,1113,1.50673856322252,0.677602867881414
"scale","Low Sexual Arousal","Internalizing","Sexual Problems",730,1.5639269,0.8123467,411,1.63665855636659,0.506239951824183,1141,1.59012559479988,0.718147050384222
"scale","Low Sexual Interest","Internalizing","Sexual Problems",769,1.8905505,0.9525673,411,1.80616382806164,0.643504013906154,1180,1.8611581930791,0.858595647689704
"scale","Paraphilias","Internalizing","Sexual Problems",774,1.1159776,0.3257849,411,1.69537712895377,0.409464899311678,1185,1.31693389232068,0.451138166319276
"scale","Premature Orgasm","Internalizing","Sexual Problems",743,1.4462764,0.603398,411,1.75912408759124,0.486157870252675,1154,1.55769789012132,0.583984202206961
"scale","Risky Sex","Internalizing","Sexual Problems",763,1.3458934,0.5633018,411,1.82116788321168,0.397724746760254,1174,1.51227995247019,0.559461152794499
"scale","Sex-Related Substance Use","Internalizing","Sexual Problems",762,1.2416885,0.4769319,411,1.50851581508516,0.418607431929184,1173,1.33518042369991,0.474729722386802
"scale","Sexual Distress","Internalizing","Sexual Problems",757,1.5922501,0.7813265,411,1.8029197080292,0.572833131004571,1168,1.66638127200342,0.721972579422415
"scale","Sexual Pain","Internalizing","Sexual Problems",714,1.2943511,0.6231702,411,1.69221411192214,0.561848422118657,1125,1.43970372035556,0.631265636621853
"scale","Manic Energy","Internalizing-Thought Disorder",NA,780,1.3305861,0.4548999,411,1.79909628084811,0.334743094608872,1191,1.4922634168166,0.473074550565726
"scale","Bodily Distress","Somatoform",NA,779,1.8447582,0.7430767,411,1.62145174371452,0.398336753441879,1190,1.76763302896359,0.653860924967033
"scale","Conversion Symptoms","Somatoform",NA,780,1.1225885,0.3144267,411,1.99246900706755,0.405677860896779,1191,1.42277396465555,0.540882791290281
"scale","Disease Conviction","Somatoform",NA,780,1.4020299,0.6873201,411,1.57238442822384,0.4712051576914,1191,1.4608172308984,0.62655114767066
"scale","Health Anxiety","Somatoform",NA,779,1.7775995,0.8089434,411,1.79055150040552,0.483197983554804,1190,1.78207283795518,0.713480577233948
"scale","Somatic Preoccupation","Somatoform",NA,779,2.364463,0.765165,411,1.47506082725061,0.435237175262001,1190,2.05728292184874,0.792173493207444
"scale","Dissociation","Thought Disorder",NA,780,1.2916453,0.5158731,411,1.43057583130576,0.370764928734123,1191,1.3395885815841,0.475487943113747
"scale","Eccentricity","Thought Disorder",NA,780,1.3976068,0.5467686,411,1.67469586374696,0.492373140732267,1191,1.49322695549958,0.544795392394875
"scale","Fantasy Proneness","Thought Disorder",NA,780,1.7987821,0.7228204,411,1.5235198702352,0.399000706810283,1191,1.70379236328016,0.643610100680954
"scale","Mistrust","Thought Disorder",NA,780,2.1357906,0.8399922,411,1.4948296836983,0.322687412279373,1191,1.91460257598657,0.76868654233538
"scale","Reality Distortion","Thought Disorder",NA,780,1.1915186,0.3720192,411,1.59730148197301,0.387438256653654,1191,1.33154946859018,0.423854684255303
"subfactor","Anankastia","Externalizing","Anankastia",NA,2.04254726,NA,NA,1.57424168694242,NA,NA,1.8809281039873,0.553310887559435
"subfactor","Antagonism","Externalizing","Antagonism",NA,1.53759534285714,NA,NA,1.53860089047785,NA,NA,1.53793452710835,0.389049350774935
"subfactor","Antisocial","Externalizing","Antisocial",NA,1.25933225,NA,NA,1.65670258370988,NA,NA,1.39646004777898,0.389962901211083
"subfactor","Disinhibition","Externalizing","Disinhibition",NA,1.5139150625,NA,NA,1.51014077163712,NA,NA,1.51262733128673,0.4298973918823
"subfactor","Distress","Internalizing","Distress",NA,1.76781727142857,NA,NA,1.66566309226632,NA,NA,1.73248348002962,0.500548912057279
"subfactor","Eating Pathology","Internalizing","Eating Pathology",NA,1.61486173,NA,NA,1.65093268450933,NA,NA,1.62731994685794,0.437527755071827
"subfactor","Fear","Internalizing","Fear",NA,1.56348496363636,NA,NA,1.61505264992325,NA,NA,1.5812875717046,0.437184434944185
"subfactor","Sexual Problems","Internalizing","Sexual Problems",NA,1.44198406666667,NA,NA,1.6958547355141,NA,NA,1.53179994467473,0.436917930351204
"spectrum","Detachment","Detachment",NA,NA,2.1305292,NA,NA,1.67041768045418,NA,NA,1.97173817164546,0.553137440269095
