"subscale","parent","item"
"Affective Lability","Emotionality",200
"Affective Lability","Emotionality",204
"Affective Lability","Emotionality",231
"Angry Hostility","Emotionality",26
"Angry Hostility","Emotionality",111
"Angry Hostility","Emotionality",125
"Angry Hostility","Emotionality",263
"Anhedonia","Distress-Dysphoria",64
"Anhedonia","Distress-Dysphoria",300
"Anhedonia","Distress-Dysphoria",380
"Anxious Worry","Distress-Dysphoria",194
"Anxious Worry","Distress-Dysphoria",224
"Anxious Worry","Distress-Dysphoria",304
"Depressed Mood","Distress-Dysphoria",11
"Depressed Mood","Distress-Dysphoria",100
"Depressed Mood","Distress-Dysphoria",170
"Depressed Mood","Distress-Dysphoria",365
"Irritability","Emotionality",106
"Irritability","Emotionality",135
"Irritability","Emotionality",214
"Irritability","Emotionality",270
"Lassitude","Distress-Dysphoria",233
"Lassitude","Distress-Dysphoria",367
"Lassitude","Distress-Dysphoria",386
"Shame/Guilt","Distress-Dysphoria",20
"Shame/Guilt","Distress-Dysphoria",343
"Shame/Guilt","Distress-Dysphoria",394
