"subscale","parent","type","item"
"Affective Lability","Emotionality","rational",200
"Affective Lability","Emotionality","rational",204
"Affective Lability","Emotionality","rational",231
"Angry Hostility","Emotionality","rational",26
"Angry Hostility","Emotionality","rational",111
"Angry Hostility","Emotionality","rational",125
"Angry Hostility","Emotionality","rational",263
"Anhedonia","Distress-Dysphoria","rational",64
"Anhedonia","Distress-Dysphoria","rational",300
"Anhedonia","Distress-Dysphoria","rational",380
"Animal-Insect Phobia","Specific Phobia Index","empirical",61
"Animal-Insect Phobia","Specific Phobia Index","empirical",102
"Animal-Insect Phobia","Specific Phobia Index","empirical",323
"Animal-Insect Phobia","Specific Phobia Index","empirical",401
"Animal-Insect Phobia","Specific Phobia Index","empirical",403
"Anxious Worry","Distress-Dysphoria","rational",194
"Anxious Worry","Distress-Dysphoria","rational",224
"Anxious Worry","Distress-Dysphoria","rational",304
"Blood-Injection Phobia","Specific Phobia Index","empirical",222
"Blood-Injection Phobia","Specific Phobia Index","empirical",232
"Blood-Injection Phobia","Specific Phobia Index","empirical",331
"Cynicism","Mistrust","empirical",8
"Cynicism","Mistrust","empirical",181
"Cynicism","Mistrust","empirical",261
"Cynicism","Mistrust","empirical",352
"Deceitfulness","Dishonesty","empirical",7
"Deceitfulness","Dishonesty","empirical",75
"Deceitfulness","Dishonesty","empirical",226
"Deceitfulness","Dishonesty","empirical",377
"Delusions","Reality Distortion","empirical",91
"Delusions","Reality Distortion","empirical",116
"Delusions","Reality Distortion","empirical",130
"Delusions","Reality Distortion","empirical",165
"Delusions","Reality Distortion","empirical",223
"Depressed Mood","Distress-Dysphoria","rational",11
"Depressed Mood","Distress-Dysphoria","rational",100
"Depressed Mood","Distress-Dysphoria","rational",170
"Depressed Mood","Distress-Dysphoria","rational",365
"Hallucinations","Reality Distortion","empirical",3
"Hallucinations","Reality Distortion","empirical",51
"Hallucinations","Reality Distortion","empirical",221
"Hallucinations","Reality Distortion","empirical",259
"Hallucinations","Reality Distortion","empirical",280
"Hallucinations","Reality Distortion","empirical",385
"Irritability","Emotionality","rational",106
"Irritability","Emotionality","rational",135
"Irritability","Emotionality","rational",214
"Irritability","Emotionality","rational",270
"Lassitude","Distress-Dysphoria","rational",233
"Lassitude","Distress-Dysphoria","rational",367
"Lassitude","Distress-Dysphoria","rational",386
"Manipulativeness","Dishonesty","empirical",14
"Manipulativeness","Dishonesty","empirical",175
"Manipulativeness","Dishonesty","empirical",303
"Manipulativeness","Dishonesty","empirical",327
"Shame/Guilt","Distress-Dysphoria","rational",20
"Shame/Guilt","Distress-Dysphoria","rational",343
"Shame/Guilt","Distress-Dysphoria","rational",394
"Situational Phobias","Specific Phobia Index","empirical",161
"Situational Phobias","Specific Phobia Index","empirical",173
"Situational Phobias","Specific Phobia Index","empirical",254
"Situational Phobias","Specific Phobia Index","empirical",347
"Suspiciousness","Mistrust","empirical",21
"Suspiciousness","Mistrust","empirical",241
"Suspiciousness","Mistrust","empirical",251
"Suspiciousness","Mistrust","empirical",264
